user6,1,1,पाया,बडबड,"पलंग, चौकी, आदि में नीचे के वे छोटे खंभे जि",काहीतरी वेड्यासारखे असे निरर्थक भाषण,212.68,5.32,31,478,57,39,29,30,0
user6,3,3,अश्लीलता,बारामाशी,अश्लील होने की अवस्था या भाव अश्लीलता क,वर्षाच्या सगळ्या महिन्यांत येणारा किंवा,199.34,4.29,29,359,59,31,22,28,0
user6,5,5,प्रेषण,भोपळा,कहीं कुछ या किसी को भेजने या रवाना करने की,क्रिकेट ज्यात एक ही धाव झाली नाही अशी स्थ,223.5,4.98,34,446,107,37,31,35,0
user6,7,7,दूरी,लाल मनुका,दूर होने की अवस्था या भाव लड़ाई झगड़े क,लाल रंगाचा मनुका लाल मनुका पा,178.24,5.11,21,359,21,34,18,20,0
user6,9,9,हफ्ता,हप्ता,सात दिनों की अवधि मैं एक सप्ताह में वाप,सात दिवसांचा कालावधी मी मागचा,175.5,4.82,24,423,31,22,18,23,1
user6,11,11,मानसिक रोग,मायक्रोनेशिया,"तनाव, घबराहट आदि की स्थिति उनके मानसिक ",पश्चिमी प्रशांत महासागरात स्थित द्वीपसम,187.82,5.15,22,370,81,25,17,21,0
user6,13,13,जमापूँजी,गंगानगर,इकठ्ठा या जमा किया हुआ धन उसकी सारी जमा,भारतातील राजस्थान राज्यातील एक जिल्हा,161.32,4.99,19,299,34,24,12,18,0
user6,15,15,बिद्ध,विद्ध,"छिदा, भेदा या बेधा हुआ  शिकारी बिद्ध शिक",हल्ल्यात वेध घेतला गेल्याने घायाळ झालेल,229.62,4.9,40,660,69,23,32,39,1
user6,17,17,क्रूरता,क्रूरपणा,"निर्दय होने की अवस्था, गुण या भाव सुरेश ",कठोर किंवा निष्ठुर असण्याची अवस्थआ किंव,263.24,4.9,42,616,22,34,38,42,1
user6,19,19,विनती,विनवणी,किसी से कुछ करने के लिए नम्रतापूर्वक कहने,एखाद्यास एखादी गोष्ट करण्यासाठी नम्रपणे,194.05,4.13,38,355,36,36,32,37,1
user6,21,21,चुपचाप,गुपचूप,दूसरों की नजर बचाकर श्याम चुपचाप से आया,एखाद्याची हळूच नजर चूकवून मी ,194.92,3.01,38,383,61,26,33,37,1
user6,23,23,किसमिस,खिसमिस,सुखाया हुआ छोटा बेदाना अंगूर माधविका क,द्राक्ष वाळवून तयार झालेला सुका मेवा,212.5,5.01,18,464,115,23,15,17,1
user6,25,25,विपुत्रा,निपुत्रीका,जिसे पुत्र न हो स्त्री उन्होंने अपनी व,ज्यास पुत्र नाही स्त्री त्या,235.42,4.48,33,724,42,29,25,32,1
user6,27,27,हौली,हिरण्यधनू,देशी शराब बनने या बिकने की जगह धनिया का ,एक पौराणिक निषाद एकलव्य हा हि,183.26,3.74,27,379,38,30,21,27,0
user6,29,29,साक्षर,पीलू,जिसे अक्षरों को पढ़ना लिखना आता हो हमार,एका काटेरी झाडाचे फळ पीलू हे ल,209.58,2.67,26,349,34,35,22,25,0
user6,31,31,त्रैलोक्य,त्रिलोक,"स्वर्ग, पृथ्वी और पाताल   ये तीनों लोक भग","त्रैलोक्य,त्रिलोक,""  स्वर्ग, पृथ्वी और पाता"" ",223.82,5.18,38,994,14,45,39,37,1
user6,33,33,रैयत,रयत,किसी राजा के अधीन या उसके राज्य में रहने व,एखाद्या राजा वा शासनाच्या आधिपत्याखाली ,204.66,3.93,29,379,28,37,29,28,1
user6,35,35,विटभूत,अद्रोही,एक दैत्य विटभूत का वर्णन महाभारत में मि,कधईही द्रोह न करणारा अद्रोही ,209.15,4.45,20,383,98,19,13,19,0
user6,37,37,लखपति,गोत्रप्रवर्तक,जिसके पास लाखों रूपयों की सम्पत्ति हो श,ज्याच्या नावाने गोत्रची उत्पत्ती झाली आ,176.77,4.98,22,289,25,26,19,21,0
user6,39,39,सीमा बंधन,सीमांकन,सीमा को अंकित करने का कार्य बँटवारे के ,सीमा निश्चितीचे कार्य भौगोलि,231.67,3.5,63,595,48,30,53,63,1
user6,41,41,सब कुछ,राहू,"पूरा का पूरा काम, वस्तु आदि यानि जिसमें सब",नवग्रहातील आठवा ग्रह तुमच्या,226.33,3.13,39,402,82,38,30,38,0
user6,43,43,समस्तीपुर,भाषाप्रभू,भारत के बिहार राज्य का एक शहर समस्तीपुर,भाषेवर प्रभुत्व असणारा आज संम,186.0,4.3,17,288,27,26,14,16,0
user6,45,45,संरक्षण,सुरक्षा,अच्छी तरह की जाने वाली रक्षा यह देश आभा,"व्यवस्थितपणे राखणे, संभाळ करण्याची क्रि",206.71,4.37,105,533,23,40,94,104,1
